"","census_tract_code","year","arrests_B","arrests_W","arrests_total","pct_arr_w","pct_arr_b","pct_arr_t","pct_arr_tot","pct_arr_wow","pct_arr_bob","sir_tot","sir_b","sir_w","sumres_t","sumres_w","sumres_b"
"1",10100,2010,965,693,1658,41.7948254025692,58.1991435980942,100,52.58317211633,84.2963143169931,45.6027597939606,15.3763580834575,127.690673209384,1206.4293554304,0.295982033014297,0.471197366714478,-0.285936594009399
"2",10100,2011,854,754,1614,46.7133387026826,52.9087417136485,100,58.7101233130843,121.007863906275,43.3480533983047,17.1657400622227,136.766793986339,1482.00998038687,1.05965912342072,2.00338315963745,1.54446256160736
"3",10100,2012,839,772,1617,47.7397810896048,51.8830004328737,100,56.2024260540127,137.586882908572,37.0730414033847,16.4332873691039,119.277393926266,1592.79378871564,0.616749584674835,2.02080392837524,1.43994891643524
"4",10100,2013,752,701,1454,48.2085138573688,51.71583797538,100,59.0552780147029,110.202798302154,41.8918166118879,17.2645895772702,149.510008203307,1421.75163406743,0.832287430763245,1.79987180233002,1.081258893013
"5",10100,2014,629,539,1169,46.1038405611154,53.8020699683517,100,52.8457122191583,95.2128599187423,38.6577346198759,15.447244174921,163.907582819908,1345.70689992902,1.79983878135681,2.296790599823,2.12747359275818
"6",10100,2015,571,574,1153,49.7788569941896,49.5186887520597,100,53.3524593956781,67.9209560998698,44.6756904780534,15.5949009220822,206.499250123544,1106.39065213122,2.56450366973877,2.22774314880371,2.13454532623291
"7",10100,2016,696,615,1315,46.7645046004106,52.9237320355866,100,58.5720012471605,69.7199863961002,55.2775792232547,17.1214075915824,210.890681919119,1105.06049172256,1.73908305168152,1.38447630405426,1.16791379451752
"8",10100,2017,657,554,1215,45.59295531232,54.0696238992675,100,53.9736129003598,61.1411543979693,53.6282752428373,15.7772878399613,216.162130133975,1045.46907568672,0.725639939308167,-0.421643912792206,-0.949543952941895
"9",10100,2018,437,477,920,51.8421910661885,47.4948375176611,100,40.5804772617,50.5778814547768,36.9681076051096,11.8623805807212,219.985642344062,962.369818053784,0.239521741867065,-0.409998416900635,-0.967342138290405
"10",10200,2010,177,147,325,45.2168563518917,54.4447862196247,100,9.87811920610316,10.6052954332299,9.33003004585947,2.88866489672784,133.457842265788,440.237255774075,0.923522651195526,1.83420693874359,2.75392842292786
"11",10200,2011,272,118,390,30.248654191233,69.7257113560625,100,11.336879741868,7.33329190230564,14.9854002534296,3.31537529885077,142.934288377274,363.315164639271,0.518892645835876,0.63615220785141,1.9553405046463
"12",10200,2012,221,88,309,28.4697508896797,71.4978971206729,100,8.75329310784397,5.50653901508041,11.5822021906609,2.5598806641625,134.758343330593,300.931630657055,-0.26531994342804,-0.25518473982811,0.704351544380188
"13",10200,2013,181,135,316,42.708003796267,57.2603606453654,100,8.80934459591313,8.4900320734545,9.19668716020528,2.57630555048042,129.202260238588,395.802833948919,-0.252679914236069,-0.012608839198947,0.359182119369507
"14",10200,2014,212,125,337,37.0809848709582,62.8893503411451,100,9.11032413289719,7.44890054227996,11.4961227699149,2.66439097397265,138.76981200776,369.977998730235,0.185310840606689,-0.203800767660141,0.282431721687317
"15",10200,2015,163,88,252,34.9067830226101,64.6568821896073,100,6.80510923280495,5.24402598176509,8.73479449118483,1.99021311510917,134.619959158789,296.244447329466,-0.270698457956314,-0.717844128608704,-0.114035576581955
"16",10200,2016,212,148,361,40.9858764885073,58.7094987538078,100,9.90642408276392,7.43307719351112,14.7416730408177,2.89718371488915,174.718134127185,375.950961713304,0.916434228420258,0.201888367533684,0.758234441280365
"17",10200,2017,167,131,298,43.9449849043945,56.0214693056021,100,8.27065582415143,6.5660869129367,12.5460145744121,2.41877369882781,183.155058226107,352.371194683477,0.973093032836914,-0.510656714439392,-0.26546111702919
"18",10200,2018,203,120,324,37.025609379821,62.6349892008639,100,9.24895092917702,6.12838976558909,15.2734933413588,2.7048179862342,187.043171603269,338.575752678175,1.02615237236023,-0.438459783792496,0.092858612537384
"19",10300,2010,253,103,358,28.7629153867635,70.6506562412734,100,7.0139691620462,4.39213679587224,9.64875481484306,2.05172558517744,100.291647809807,287.111304021004,-0.791282057762146,-0.288750022649765,0.973348438739777
"20",10300,2011,375,156,535,29.1534292655578,70.0803588114371,100,10.6148687526041,7.09381110454277,13.893520062243,3.10503856273373,98.7798070899179,366.660189652847,0.11488600820303,0.302124738693237,1.51491689682007
"21",10300,2012,391,196,587,33.3844319536706,66.5985351728837,100,12.1756445624443,8.72623658786341,16.1097606196696,3.56150265627942,109.657588928628,400.550093632079,0.300197750329971,0.203436106443405,1.09898948669434
"22",10300,2013,470,140,612,22.872079725535,76.7848390785819,100,11.2933882009928,6.35179892019418,15.4093308416118,3.30364712679388,88.0945120736657,347.56893445248,0.333624601364136,-0.680572986602783,0.672233521938324
"23",10300,2014,346,115,461,24.9403600086749,75.0379527217523,100,9.44265787263677,5.28711323617305,13.2056028395863,2.76209585119274,101.446869317473,315.594101665024,0.183480456471443,-0.927391290664673,0.317501723766327
"24",10300,2015,325,150,477,31.4399496960805,68.1198910081744,100,9.24221580670787,6.25495183687086,12.1763890449964,2.70354860694292,99.4530578109979,343.714937679502,-0.0153275383636355,-0.879740595817566,-0.112319558858871
"25",10300,2016,397,131,536,24.4357396008207,74.0533482559224,100,9.39839736283775,4.65844031151097,14.2493090700262,2.74937813449475,95.9097844303324,296.308880713633,-0.57609748840332,-1.59351301193237,-0.571016550064087
